Player Name,Wiki Title,Height,Spike,Block,Position
Vadi Mohammad Taher,Mohammad Taher Vadi,194,329,315,Setter
Gil Kreling Fernando,Fernando Kreling,185,320,302,Setter
Uriarte Nicolas,Nicolás Uriarte,189,340,320,Setter
Crer Pablo,Pablo Crer,205,350,nan,Middle
Sekita Masahiro,Masahiro Sekita,175,311,295,Setter
Aubrey Matthew,Aubrey High School
Lomacz Grzegorz,Grzegorz Łomacz,188,336,315,Setter
Bispo dos Santos Matheus,Matheus Santos (volleyball),206,328,309,Middle
Toniutti Benjamin,Benjamin Toniutti,183,320,310,Setter
Fujii Naonobu,Naonobu Fujii,183,312,297,Setter
Kovac Davide,Davide Kovač,196,324,301,Outside
Štalekar Sašo,Sašo Štalekar,214,354,338,Middle
Gardini Davide,Davide Gardini,205,330,310,Outside
Sanders Tyler,TJ Sanders,191,338,nan,Setter
Shafiei Ali,Ali Shafiei,198,348,345,Middle
Vincic Dejan,Dejan Vinčić,200,344,328,Setter
Walsh Brett James,Brett Walsh,195,332,313,Setter
Tuaniga Joshua,Joshua Tuaniga,191,320,nan,Setter
De Barros Ferreira João Rafael,João Rafael Ferreira,192,339,308,Outside
Lisinac Srecko,Srećko Lisinac,205,370,355,Middle
Jorna Gijs,Gijs Jorna,196,340,310,libero
Douglas-Powell Thomas Ewen,Thomas Douglas-Powell,194,356,332
Komenda Marcin,Marcin Komenda,198,345,nan,Setter
Ivanov Vladislav,Vladislav Ivanov (volleyball),188,320,310,Libero
Zenger Julian,Julian Zenger,190,330,315,Libero
Perry Luke,Luke Perry (volleyball),182,335,320,Libero
Yamamoto Tomohiro,Tomohiro Yamamoto (volleyball),171,301,299,Libero
Ogawa Tomohiro,Tomohiro Ogawa,176,305,270,Libero
Salehi Arman,Arman Salehi,180,nan,nan,Libero
Batak Aleksa,Aleksa Batak,198,nan,nan,Setter
Klobucar Jan,Jan Klobučar,195,345,329,Right
Kovačič Jani,Jani Kovačič,186,320,310,Libero
Golubev Valentin,Valentin Golubev,100,310,305,Libero
Watten Dustin,Dustin Watten,183,306,nan,Libero
Bann Blair Cameron,Blair Bann,184,314,295,Libero
Wojtaszek Damian,Damian Wojtaszek,180,330,nan,Libero
Zatorski Pawel,Paweł Zatorski,184,328,nan,Libero
Balaso Fabio,Fabio Balaso,182,310,290,Libero
Nascimento Maique Reis,Maique Nascimento,182,310,255,Libero
Hoss Thales,Thales Hoss,nan,nan,nan,Libero
Moreira Roque Felipe,Felipe Roque (volleyball),212,355,335,Opposite
Janusz Marcin,Marcin Gortat,nan,nan,nan,Center
Oya Masaki,Masaki Oya (volleyball),177,315,300,Setter
Grebennikov Jenia,Jenia Grebennikov,188,345,300,Libero
Danani Santiago,Santiago Danani,176,318,300,Libero
