Player Name,Team,Apts,Errors,Attempts,Avg Per Match,Success %,Total
Andringa Robbert,NED,58,25,68,4.14,38.41,151
Karyagin Denis,BUL,57,28,57,3.8,40.14,142
Poletaev Victor,RUS,56,16,35,3.73,52.34,107
Patch Benjamin,USA,55,23,37,6.11,47.83,115
Podlesnykh Yaroslav,RUS,54,18,49,3.86,44.63,121
Bultor Daryl,FRA,52,15,25,3.06,56.52,92
Le Goff Nicolas,FRA,51,13,30,3,54.26,94
van Tilburg Stijn,NED,51,22,52,3.4,40.8,125
Martinez Franchi Jan,ARG,51,13,57,4.25,42.15,121
Azeez Oluwatobi Elliot,AUS,51,24,59,4.25,38.06,134
Krage Florian,GER,50,14,26,3.85,55.56,90
Vlasov Ilia,RUS,50,4,30,3.33,59.52,84
Ramos Martin,ARG,50,10,23,3.33,60.24,83
Onodera Taishi,JPN,49,8,42,3.77,49.49,99
Parkinson Michael,NED,49,5,16,3.77,70,70
Galassi Gianluca,ITA,49,3,17,6.12,71.01,69
Cortesia Lorenzo,ITA,49,6,32,3.5,56.32,87
Otake Issei,JPN,49,14,35,8.17,50,98
Kaczmarek Lukasz,POL,48,16,42,4,45.28,106
Rossard Thibault,FRA,47,15,34,4.7,48.96,96
Kolev Nikolay,BUL,47,6,28,3.13,58.02,81
Kaliberda Denys,GER,47,12,44,3.62,45.63,103
Szwarc Arthur,CAN,47,14,22,3.13,56.63,83
Mosca Leandro Ausibio,ITA,47,9,28,3.36,55.95,84
Plak Fabian,NED,46,10,23,3.54,58.23,79
Atanasov Martin,BUL,45,27,56,3,35.16,128
Yamauchi Akihiro,JPN,45,8,34,3,51.72,87
Kochanowski Jakub,POL,45,9,19,3.75,61.64,73
Cavuto Oreste,ITA,45,18,35,3,45.92,98
Resende Gualberto Flavio,BRA,45,14,32,2.65,49.45,91
Poglajen Cristian,ARG,45,15,51,4.09,40.54,111
Peric Pavle,SRB,44,17,31,2.93,47.83,92
Louati Yacine,FRA,43,17,55,3.31,37.39,115
Jaeschke Thomas,USA,43,14,45,3.58,42.16,102
Sander Taylor,USA,43,9,28,7.17,53.75,80
