Player Name,Wiki Title,Height,Spike,Block,Position
Walsh Brett James,Brett Walsh,195,332,313,Setter
Sanders Tyler,TJ Sanders,191,338,nan,Setter
Douglas-Powell Thomas Ewen,Thomas Douglas-Powell,194,356,332,
Komenda Marcin,Marcin Komenda,198,345,nan,Setter
Ivanov Vladislav,Vladislav Ivanov (volleyball),188,320,310,Libero
Zenger Julian,Julian Zenger,190,330,315,Libero
Perry Luke,Luke Perry (volleyball),182,335,320,Libero
Yamamoto Tomohiro,Tomohiro Yamamoto (volleyball),171,301,299,Libero
Ogawa Tomohiro,Tomohiro Ogawa,176,305,270,Libero
Salehi Arman,Arman Salehi,180,nan,nan,Libero
Batak Aleksa,Aleksa Batak,198,nan,nan,Setter
Vincic Dejan,Dejan Vinčić,200,344,328,Setter
Klobucar Jan,Jan Klobučar,195,345,329,Right
Kovačič Jani,Jani Kovačič,186,320,310,Libero
Golubev Valentin,Valentin Golubev,100,310,305,Libero
Watten Dustin,Dustin Watten,183,306,nan,Libero
Pereira Jordan,Jordan Pereira (volleyball),183,323,297,Libero
Bann Blair Cameron,Blair Bann,184,314,295,Libero
Wojtaszek Damian,Damian Wojtaszek,180,330,nan,Libero
Zatorski Pawel,Paweł Zatorski,184,328,nan,Libero
Balaso Fabio,Fabio Balaso,182,310,290,Libero
Nascimento Maique Reis,Maique Nascimento,182,310,255,Libero
Hoss Thales,Thales Hoss,nan,nan,nan,Libero
Moreira Roque Felipe,Felipe Roque (volleyball),212,355,335,Opposite
Janusz Marcin,Marcin Gortat,nan,nan,nan,Center
Oya Masaki,Masaki Oya (volleyball),177,315,300,Setter
Grebennikov Jenia,Jenia Grebennikov,188,345,300,Libero
Danani Santiago,Santiago Danani,176,318,300,Libero
